Start the ALNS algorithm 
Iteration: 59, combined_action: 15, new_cost: 107491.43503487973, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 59, elapsed_time: 43.98 seconds
Iteration: 60, combined_action: 4, new_cost: 106763.93561499211, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 60, elapsed_time: 44.41 seconds
Iteration: 61, combined_action: 3, new_cost: 96274.53956662567, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 61, elapsed_time: 44.85 seconds
Iteration: 62, combined_action: 15, new_cost: 107491.43503487973, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 62, elapsed_time: 45.28 seconds
Iteration: 63, combined_action: 7, new_cost: 97582.77471470361, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 63, elapsed_time: 45.72 seconds
Iteration: 64, combined_action: 8, new_cost: 101922.84893139324, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 64, elapsed_time: 46.16 seconds
Iteration: 65, combined_action: 1, new_cost: 96260.40990691986, current_cost: 96260.40990691986, global_best_cost: 96216.95680783698, NoImprove: 65, elapsed_time: 46.61 seconds
Iteration: 66, combined_action: 5, new_cost: 98435.16674922514, current_cost: 96260.40990691986, global_best_cost: 96216.95680783698, NoImprove: 66, elapsed_time: 47.04 seconds
Iteration: 67, combined_action: 13, new_cost: 107491.43503487973, current_cost: 96260.40990691986, global_best_cost: 96216.95680783698, NoImprove: 67, elapsed_time: 47.49 seconds
Iteration: 68, combined_action: 11, new_cost: 99709.62297542268, current_cost: 96260.40990691986, global_best_cost: 96216.95680783698, NoImprove: 68, elapsed_time: 47.95 seconds
Iteration: 69, combined_action: 3, new_cost: 96260.23371993769, current_cost: 96260.23371993769, global_best_cost: 96216.95680783698, NoImprove: 69, elapsed_time: 48.41 seconds
Iteration: 70, combined_action: 9, new_cost: 97580.20543298397, current_cost: 96260.23371993769, global_best_cost: 96216.95680783698, NoImprove: 70, elapsed_time: 48.86 seconds
